"date_begin","time_fortnight","lower","median","upper"
2019-10-22,"2019-22",NA,NA,NA
2019-11-05,"2019-23",2.16705563358457e-08,0.000186898848660541,0.00117256935738191
2019-11-19,"2019-24",2.25573593647718e-08,0.000200516644820186,0.00119014533677972
2019-12-03,"2019-25",3.2115285584557e-08,0.000235991802913085,0.00120685436111888
2019-12-17,"2019-26",4.12377799963666e-08,0.000297393120800781,0.00152712425859395
2020-01-01,"2020-1",9.47908983010903e-08,0.000419171221259962,0.0020580568232994
2020-01-15,"2020-2",1.40281806515617e-07,0.000493104195587363,0.00221658559663111
2020-01-29,"2020-3",2.47178707872477e-07,0.000677264431145208,0.00316509824862838
2020-02-12,"2020-4",3.62002605074382e-07,0.00103315062823333,0.00434536489297708
2020-02-26,"2020-5",0.000206193103417816,0.00238099469331309,0.00793994344817376
2020-03-11,"2020-6",0.0123722001698833,0.0212850962689265,0.0287091557423569
2020-03-25,"2020-7",0.0282874778966433,0.0503538358160892,0.0677535745420532
2020-04-08,"2020-8",0.0155900957839298,0.0295797349730473,0.0499696266643035
2020-04-22,"2020-9",0.000693676900222914,0.00935274987221316,0.0218750918858409
2020-05-06,"2020-10",5.19241545060681e-06,0.00188745785086815,0.011342905989023
2020-05-20,"2020-11",3.11929006649411e-07,0.000990409608521353,0.00622043619104927
2020-06-03,"2020-12",4.09858231254269e-07,0.00119858407244192,0.0133059688241261
2020-06-17,"2020-13",4.30357739212936e-07,0.00165057841954247,0.0160486729125553
2020-07-01,"2020-14",1.07840419925512e-06,0.00141283874664142,0.0151324836680966
2020-07-15,"2020-15",4.31218012556439e-07,0.00126338788395616,0.0138718675560453
2020-07-29,"2020-16",2.01905529290276e-07,0.00141791953415604,0.0184159712273336
2020-08-12,"2020-17",7.42613369443179e-07,0.0026530794992538,0.0223725719402981
2020-08-26,"2020-18",3.86948122338693e-05,0.00963959422429972,0.038885408527049
2020-09-09,"2020-19",0.000242863877222625,0.0487822739432882,0.13102388726951
