"date_begin","total","reactive","mean","lower","upper"
"2019-10-22",1218,13,0.0106732348111658,0.00569494456771125,0.0181824015766068
"2019-11-19",1060,9,0.00849056603773585,0.0038895660243109,0.0160563090456746
"2019-12-17",1021,10,0.00979431929480901,0.00470646589478918,0.0179381276847581
"2020-01-15",1241,13,0.0104754230459307,0.00558918035912304,0.017846676992518
"2020-02-12",1158,16,0.0138169257340242,0.00791763757762876,0.0223410698179675
"2020-03-11",1051,52,0.049476688867745,0.0371690445726705,0.0643788665012999
"2020-04-08",1259,150,0.119142176330421,0.101755835428294,0.138328453927968
"2020-05-06",1066,136,0.127579737335835,0.108132942137613,0.149108015718738
"2020-06-03",777,96,0.123552123552124,0.101234274422603,0.148770854466628
"2020-07-01",542,72,0.132841328413284,0.105411595377505,0.164346113351963
"2020-07-29",465,65,0.139784946236559,0.109567485591005,0.17467073985479
"2020-08-26",398,68,0.170854271356784,0.13518640815295,0.211502442299915
